Location,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,77354,35556,45.965302376089149
Faeroe Islands,49053,19099,38.935437180192849
Gibraltar,33691,12848,38.134813451663653
Seychelles,98910,36559,36.961884541502378
San Marino,34010,12462,36.642164069391356
Montenegro,628051,219303,34.91802417319613
Slovenia,2078723,702201,33.780402679914545
Aruba,107195,32956,30.743971267316571
Israel,9291000,2830154,30.46124206221074
Denmark,5813302,1713485,29.475244878040051
Georgia,3979773,1162773,29.217068410685737
Slovakia,5449270,1562107,28.666353474869112
France,67422000,19110023,28.343898134140193
Cyprus,896005,253350,28.275511855402591
Czechia,10724553,2989436,27.874690907863481
Bonaire Sint Eustatius and Saba,26445,6957,26.307430516165624
Belgium,11632334,3055925,26.270953017683297
Portugal,10167923,2611886,25.687507665036406
Netherlands,17173094,4329542,25.211193742956279
Isle of Man,85410,21460,25.125863482027867
Estonia,1325188,332580,25.096816451703457
Maldives,543620,136126,25.040653397593911
Lithuania,2689862,673518,25.039128401382669
Switzerland,8715494,2131077,24.451591613739851
United Kingdom,68207114,16509469,24.20490771681089
Serbia,6871547,1662446,24.193183863837355
Luxembourg,634814,153435,24.170071863569486
Ireland,4982904,1169645,23.473159426711813
Liechtenstein,38254,8854,23.145291995608304
Croatia,4081657,935722,22.925052252063317
Curacao,164796,37085,22.503580183985047
United States,332915074,74333001,22.327916878885453
Bahrain,1748295,368767,21.092950560403136
Spain,46745211,9779130,20.920068154147383
Latvia,1866934,388989,20.835712456894566
Cayman Islands,66498,13788,20.734458179193361
Monaco,39520,8183,20.70597165991903
Sweden,10160159,2070456,20.378185026435116
Austria,9043072,1828167,20.216216347719005
European Union,447189915,86394328,19.3193820124499
British Virgin Islands,30423,5839,19.19271603720869
Uruguay,3485152,661441,18.978827896172103
Greenland,56868,10662,18.748681156362103
Greece,10370747,1920992,18.523178706413336
Argentina,45605823,8335184,18.276578409735087
Italy,60367471,10925485,18.098298336864236
Iceland,368792,64486,17.485737217727067
French Polynesia,282534,48044,17.004679082871444
Bermuda,62092,10552,16.994137731108676
Europe,748962983,125895637,16.809327010491252
High income,1214930230,195914585,16.125583195011949
Panama,4381583,697124,15.910322821683396
Hungary,9634162,1508358,15.656348730693962
Anguilla,15125,2324,15.365289256198347
Barbados,287708,43993,15.290850445590667
Saint Pierre and Miquelon,5771,875,15.16201698145902
Turks and Caicos Islands,39226,5727,14.600010197318106
North America,596581283,87088275,14.597889253592289
Norway,5465629,765061,13.997675290437753
Bulgaria,6896655,941814,13.656098499924962
Turkey,85042736,11526621,13.553915998187078
Lebanon,6769151,914929,13.516155866518565
Mongolia,3329282,443392,13.317946632336941
Costa Rica,5139053,682480,13.280267784745556
Malta,516100,67548,13.08816120906801
North Macedonia,2082661,268191,12.877323769927033
Poland,37797000,4852677,12.83878879276133
Dominica,72172,9032,12.514548578396054
Belize,404915,50487,12.468542780583579
Kuwait,4328553,539654,12.467307204047172
Suriname,591798,73162,12.36266428747647
Armenia,2968128,366433,12.345592912435045
Brazil,213993441,25360647,11.851132857852404
Jordan,10269022,1209083,11.774081309787826
Germany,83900471,9846032,11.735371545172852
Qatar,2930524,337638,11.521420742502023
Romania,19127772,2196394,11.48274874878266
Kosovo,1782115,204345,11.466431739814771
Colombia,51265841,5871977,11.453975757463922
Saint Lucia,184401,20909,11.338875602626883
South America,434260137,48323120,11.12768957653601
Chile,19212362,2137743,11.12691401504927
Grenada,113015,12311,10.893244259611556
Moldova,4024025,438249,10.89081206006424
Bosnia and Herzegovina,3263459,343986,10.540533832353953
Botswana,2397240,250746,10.45977874555739
Saint Kitts and Nevis,53546,5422,10.125873081089157
Australia,25788217,2607242,10.110206533472246
Cape Verde,561901,55677,9.9086849818740319
Ukraine,43466822,4232143,9.7364905122348251
Palestine,5222756,504992,9.66907127194914
Peru,33359415,3224406,9.665655108160621
Cuba,11317498,1042671,9.2129108394806
Albania,2872934,255741,8.9017359953274262
Malaysia,32776195,2865984,8.7441022363944327
Finland,5548361,475431,8.5688548383928165
Saint Vincent and the Grenadines,111269,9447,8.49023537553137
United Arab Emirates,9991083,843030,8.4378240076676363
Bahamas,396914,32512,8.1911950699647775
Palau,18174,1478,8.13249697369869
Canada,38067913,3033824,7.9695043959988041
Trinidad and Tobago,1403374,111190,7.9230483107140355
Russia,145912022,11547333,7.9139010218088819
Paraguay,7219641,570469,7.9016255794436319
Belarus,9442867,740988,7.8470659387662662
Guyana,790329,59803,7.5668487427387836
Tunisia,11935764,901107,7.5496382133560953
Iran,85028760,6344179,7.4612154757990119
Bolivia,11832936,852280,7.2026080425010326
Kazakhstan,18994958,1319814,6.9482333153882205
Fiji,902899,62373,6.9080816348229419
Antigua and Barbuda,98728,6558,6.6424925046592653
New Caledonia,288217,18643,6.4683901365984662
Oceania,43219954,2792826,6.4618902648531273
Oman,5223376,336460,6.44142791941457
Azerbaijan,10223344,656284,6.4194650986996029
Singapore,5453600,348330,6.38715710723192
Libya,6958538,425237,6.1110106749435014
Namibia,2587344,155840,6.0231650681161844
South Africa,60041996,3603856,6.0022255089587624
Eswatini,1172369,68342,5.8293933053501075
Mauritius,1273428,70734,5.554613217237252
Iraq,41179351,2203365,5.3506549921100017
Dominican Republic,10953714,554052,5.0581200129928536
World,7874965730,374686907,4.757949683166431
Jamaica,2973462,124102,4.1736534719461691
Wallis and Futuna,11094,454,4.0923021453037682
Upper middle income,2513672790,101801508,4.0499108875662371
Honduras,10062994,391874,3.894208820953287
Ecuador,17888474,691898,3.8678425001484196
Mexico,130262220,4930069,3.784726684375562
Guatemala,18249868,689609,3.778706782975088
Brunei,441532,16345,3.7018834421967148
Vatican,812,29,3.5714285714285712
Thailand,69950844,2440542,3.48893860380012
Montserrat,4981,163,3.272435253965067
Nepal,29674920,950441,3.2028426698370209
Philippines,111046910,3545680,3.1929569224393548
Morocco,37344787,1131395,3.029592858569524
Kyrgyzstan,6628347,198111,2.9888447300661838
India,1393409033,41302440,2.9641289113130074
Sri Lanka,21497306,610103,2.8380439856045219
